,0
0,0.888189
1,0.45855194
2,0.21032263
3,0.13877769
4,0.12970397
5,0.86418235
6,0.7996338
7,0.74573374
8,0.24823995
9,0.58808243
10,0.62629735
11,0.13539955
12,0.77328855
13,0.83160007
14,0.8633546
15,0.885895
16,0.87610096
17,0.63514787
18,0.7900168
19,0.09523212
20,0.8703134
21,0.88764375
22,0.09988193
23,0.10192943
24,0.3885331
25,0.4814887
26,0.75576884
27,0.09825633
28,0.55157757
29,0.8407855
30,0.12924139
31,0.095360346
32,0.57581204
33,0.4286245
34,0.80332553
35,0.13492016
36,0.8707635
37,0.09633798
38,0.11680579
39,0.231953
40,0.5708141
41,0.8624818
42,0.6652118
43,0.87668043
44,0.6337032
45,0.29819444
46,0.88582224
47,0.14596923
48,0.8478791
49,0.28664166
50,0.7343171
51,0.7844096
52,0.11006786
53,0.15405606
54,0.8796974
55,0.72623485
56,0.094455674
57,0.64245695
58,0.14658612
59,0.11553351
60,0.09677869
61,0.10604601
62,0.10266842
63,0.84753215
64,0.85935134
65,0.1171598
66,0.80385494
67,0.09720233
68,0.87035215
69,0.24373692
70,0.2936778
71,0.5276523
72,0.2968952
73,0.10236116
74,0.2318343
75,0.77802587
76,0.51892334
77,0.8696108
78,0.6213944
79,0.7732093
80,0.85172784
81,0.8256587
82,0.6909682
83,0.09877068
84,0.12970687
85,0.24814431
86,0.21589947
87,0.11242243
88,0.10099396
89,0.5552083
90,0.842967
91,0.16926771
92,0.103537254
93,0.13862857
94,0.8517597
95,0.097570516
96,0.88069266
97,0.7775179
98,0.09586673
99,0.75766134
100,0.8510238
101,0.8233098
102,0.5970872
103,0.41633242
104,0.21727291
105,0.10194593
106,0.38890553
107,0.8846092
108,0.57432985
109,0.10298931
110,0.7390497
111,0.7785704
112,0.10688739
113,0.8046588
114,0.35164258
115,0.23212086
116,0.10446374
117,0.23736586
118,0.3834423
119,0.8276529
120,0.71010643
121,0.6733654
122,0.2358936
123,0.11343119
124,0.5943633
125,0.8226056
126,0.76926017
127,0.81805617
128,0.111282386
129,0.86124533
130,0.83178705
131,0.82929224
132,0.10331308
133,0.31803071
134,0.09985308
135,0.67730325
136,0.10456346
137,0.6300782
138,0.8787119
139,0.4076705
140,0.8182003
141,0.8765031
142,0.17434467
143,0.8712729
144,0.094562635
145,0.85404885
146,0.3638144
147,0.10040036
148,0.1704261
149,0.095860004
150,0.87376374
151,0.8744312
152,0.8864155
153,0.14606032
154,0.7730861
155,0.50146055
156,0.88268363
157,0.81894875
158,0.19388671
159,0.119881265
160,0.19074316
161,0.779917
162,0.13444337
163,0.094778724
164,0.8654732
165,0.523999
166,0.28238434
167,0.1471671
168,0.52468246
169,0.11663571
170,0.8715237
