,0
0,0.015116234
1,0.01875664
2,0.01092773
3,0.030861592
4,0.035492603
5,0.018206459
6,0.011156341
7,0.013023792
8,0.033095717
9,0.015485205
10,0.037164073
11,0.012623772
12,0.014503997
13,0.021547565
14,0.019189319
15,0.012332754
16,0.015630582
17,0.023419788
18,0.044912886
19,0.03353422
20,0.036469627
21,0.005045235
22,0.039412983
23,0.008709416
24,0.016796743
25,0.038901262
26,0.008105527
27,0.016149485
28,0.042208724
29,0.008062083
30,0.0047373655
31,0.016853388
32,0.012814245
33,0.02366844
34,0.036214177
35,0.021130394
36,0.017723994
37,0.027323827
38,0.003606633
39,0.043036755
40,0.00967717
41,0.04871282
42,0.020225853
43,0.018512947
44,0.005721851
45,0.0049897553
46,0.028208006
