,0
0,0.00035221054
1,0.00038619287
2,0.032059547
3,0.00038619287
4,0.032059547
5,0.00038619287
6,0.032059547
7,0.00038619287
8,0.032059547
9,0.12379617
10,0.10248444
11,0.0077986065
12,0.067977004
13,0.00028618245
14,0.00045666212
15,0.0016562014
16,0.0005663463
17,0.009113368
18,0.0006308488
19,0.009113368
20,0.0006308488
21,0.009113368
22,0.0006308488
23,0.009113368
24,0.0006308488
25,0.0006811663
26,0.09091222
27,0.0006811663
28,0.09091222
29,0.0006811663
30,0.09091222
31,0.0006811663
32,0.09091222
33,0.00034240857
34,0.12040301
35,0.0041125794
36,0.00039627674
37,0.012665054
38,0.0014902508
39,0.019804228
40,0.00027900116
