,0
0,0.061975785
1,0.02335005
2,0.012791033
3,0.029778138
4,0.021521777
5,0.0325027
6,0.0094954325
7,0.009972542
8,0.030693818
9,0.014248705
10,0.025853321
11,0.039510153
12,0.012937762
13,0.019047711
14,0.01814095
15,0.012555625
16,0.030481964
17,0.014943926
18,0.012876703
19,0.045515582
20,0.011923634
21,0.02064954
22,0.026508916
23,0.014042623
24,0.023905715
25,0.008672089
26,0.018852001
27,0.018597493
28,0.010533112
29,0.014306609
30,0.037118595
31,0.038873438
32,0.020501195
33,0.015147826
34,0.02554882
35,0.0074387915
36,0.0634593
37,0.026295811
38,0.11943073
