,0
0,0.004946631
1,0.0054906877
2,0.0041757547
3,0.0024261747
4,0.0053911856
5,0.06172603
6,0.0011479838
7,0.0037408273
8,0.00051712873
9,0.0037963577
10,0.0011778347
11,0.0012399029
12,0.007979847
13,0.0059050494
14,0.0010428858
15,0.7170614
16,0.0021578176
17,0.0020847076
18,0.005187521
19,0.0021696808
20,0.0064102677
21,0.0053537837
22,0.00097309396
23,0.0061488766
24,0.021417152
25,0.023242123
26,0.01105281
27,0.0020867097
28,0.0007221631
29,0.0021856835
30,0.0024572143
31,0.00066447526
32,0.0005022309
33,0.001493952
34,0.0013113806
35,0.02698112
36,0.0019801718
37,0.0005187511
38,0.0039778734
39,0.022367496
40,0.0023977032
41,0.00530734
42,0.0029426117
43,0.0016275367
44,0.0008042156
45,0.0013420087
46,0.0012860941
47,0.0030797482
