,0
0,3.0689247e-05
1,6.606555e-05
2,6.615896e-05
3,0.02765339
4,0.007034201
5,0.011417033
6,4.969404e-05
7,0.032615677
8,0.00018872267
9,0.008366812
10,6.4774846e-05
11,0.013946836
12,0.014086085
13,4.6213318e-05
14,0.00011476674
15,0.0136833405
16,0.0099183535
17,6.621747e-05
18,2.9865987e-05
19,3.2931228e-05
20,0.040348485
21,5.001168e-05
22,0.026299296
23,0.009976614
24,4.0930456e-05
25,0.017218633
26,0.00019461033
27,7.810372e-05
28,0.012995529
29,2.3482133e-05
30,2.8107543e-05
31,0.02693049
32,2.7944876e-05
33,4.6617657e-05
34,2.8474742e-05
35,0.036796242
36,2.9108915e-05
37,0.024800967
38,0.019074097
39,8.563937e-05
40,0.015644612
41,4.8372913e-05
42,4.584133e-05
43,0.00025943058
44,0.0097009605
45,3.273078e-05
46,0.020861194
47,0.01816859
48,5.9162438e-05
49,0.027408903
50,0.00015017971
51,0.00014655774
52,4.5795496e-05
53,0.031762216
54,0.056369755
55,0.021409813
56,4.5442903e-05
57,0.012543287
58,4.295615e-05
59,4.460999e-05
60,4.58565e-05
61,3.476045e-05
62,0.0260533
63,3.182682e-05
64,6.886353e-05
65,0.000113000475
66,0.007814512
67,4.078943e-05
68,3.6780486e-05
69,3.996808e-05
70,7.546197e-05
71,6.013553e-05
72,4.78583e-05
73,4.3986027e-05
74,7.419953e-05
75,0.00019487814
76,0.016354693
77,0.00025040933
78,0.043938406
79,3.4868426e-05
80,6.4504035e-05
81,0.017806003
82,0.021053452
83,0.00038436486
84,3.1605476e-05
85,0.01408566
86,0.017137576
87,0.0097857155
88,0.025926834
89,5.6789846e-05
90,5.8407106e-05
91,3.198007e-05
92,3.373121e-05
93,0.010173841
94,3.043698e-05
95,2.9362354e-05
96,3.6296482e-05
97,0.0101416465
98,0.0007836588
99,7.163781e-05
100,0.013926138
101,3.3347733e-05
102,4.6192392e-05
103,3.0271485e-05
104,0.00018272859
105,3.265614e-05
106,0.017378546
107,4.715642e-05
108,2.790525e-05
109,2.4187437e-05
110,0.024027662
111,0.0053847497
112,0.0076777544
113,0.01330455
114,0.023573346
115,3.864651e-05
116,4.1771702e-05
117,0.013339954
118,0.0038280643
119,6.379837e-05
120,0.0047723553
121,0.017549705
122,0.02227152
123,0.013020171
124,0.007558344
125,0.00018217962
126,0.019182913
127,3.3775952e-05
128,0.00926664
129,0.00091023505
130,2.9163064e-05
131,0.004740506
132,0.00824547
133,3.6585025e-05
134,0.0049084574
135,5.9405276e-05
136,0.008143474
137,0.004097026
138,2.1780428e-05
139,0.007622404
140,5.636406e-05
141,4.6197285e-05
142,2.2503082e-05
143,8.29635e-05
144,1.711443e-05
145,4.76066e-05
146,2.1999394e-05
147,0.0051245494
148,0.028866932
149,2.4995177e-05
150,5.7531983e-05
151,0.011340054
152,5.9902293e-05
153,0.035398625
154,0.00011357819
155,0.04209176
156,0.012183178
157,0.00033041177
158,0.00015479518
159,0.000116196126
160,0.048252486
161,0.000110975205
162,0.011585181
163,2.5482095e-05
164,0.000106426916
165,3.1402815e-05
166,0.02999017
167,0.0132986475
168,0.013633735
169,0.027326146
170,0.000109513705
171,0.030721879
172,6.764794e-05
173,4.9334394e-05
174,0.02828586
175,0.013785999
176,0.030218285
177,0.00064228714
178,0.02433226
179,0.00023154466
180,0.00011100504
181,0.0171054
182,6.3180705e-05
183,6.291432e-05
184,0.00015014858
185,5.451062e-05
186,0.00021922436
187,0.014488977
188,7.0915325e-05
189,4.4887256e-05
190,8.351429e-05
191,0.005183437
192,0.04568872
193,0.00034575711
194,0.014015164
195,9.717374e-05
196,4.4444427e-05
197,0.00018237765
198,5.255041e-05
199,0.025066635
200,0.00012607884
201,9.718908e-05
202,0.041564368
203,0.00018442217
204,0.012070147
205,0.01600036
206,0.00792854
207,0.011825
208,0.016258616
209,0.020312285
210,5.353598e-05
211,6.231842e-05
212,0.028084958
213,0.00558542
214,6.3535874e-05
215,0.0068772114
216,0.00011012124
217,0.010130753
218,7.188005e-05
219,0.020426936
220,0.00017659563
221,0.032569047
222,6.97233e-05
223,0.00045351475
224,0.034047056
225,3.2526954e-05
226,0.00039980366
227,0.00010562247
228,7.202064e-05
229,0.00792437
230,0.024312755
231,4.0047602e-05
232,0.022498121
233,0.020073025
234,3.036869e-05
235,0.028249325
236,0.014997198
237,5.4515323e-05
238,5.7651476e-05
239,2.202114e-05
240,2.789295e-05
241,2.9076624e-05
242,0.0057294
243,5.774914e-05
244,2.9867515e-05
245,4.6502882e-05
246,0.011024485
247,4.9905517e-05
248,0.00029939497
249,0.004264885
250,4.2595562e-05
251,0.006285387
252,3.817524e-05
253,2.8916471e-05
254,0.007790985
255,6.121927e-05
256,3.067739e-05
257,2.8303752e-05
258,4.867202e-05
259,4.6778332e-05
260,5.470907e-05
261,0.007485568
262,0.0030059991
263,2.561169e-05
264,0.009009129
265,0.006998224
266,4.2768886e-05
267,5.0840314e-05
268,0.0014339583
269,0.007934144
270,1.9938645e-05
271,0.012655458
272,0.019067612
273,0.0001156588
274,0.0060671256
275,2.5138635e-05
276,4.321581e-05
277,0.008614044
278,0.0133746555
279,0.014438373
280,3.756218e-05
281,0.014128747
282,0.008135561
283,0.006389833
284,0.00013720336
285,0.011481561
286,3.729163e-05
287,0.004146715
288,0.00013357817
289,2.9877405e-05
290,3.3859946e-05
291,0.024162713
292,4.924883e-05
293,5.9479233e-05
294,0.004341656
295,3.6408197e-05
296,0.015282569
297,9.486942e-05
298,2.988735e-05
299,5.6332527e-05
300,3.38655e-05
301,0.00012750202
302,0.0007789213
303,0.009736573
304,0.00015440375
305,0.00013788532
306,0.004953005
307,0.01706794
308,0.00016121179
309,0.015597701
310,0.016089572
311,0.022056067
312,0.013074306
313,0.023673099
314,6.908561e-05
315,0.00015961741
316,0.00017944514
317,0.019472009
318,9.970686e-05
319,0.025409302
320,0.02677423
321,0.0037132176
322,0.043998923
323,0.034106545
324,0.013260655
325,0.018045187
326,0.01616098
327,6.9566e-05
328,0.014178511
329,0.013942562
330,0.031197617
331,8.906047e-05
332,0.007720178
333,0.008055154
334,0.010146134
335,0.004938593
336,0.034070525
337,0.00030857022
338,0.00020199113
339,0.0001442158
340,9.961852e-05
341,7.3664894e-05
342,0.00018504736
343,0.00016956528
344,3.0561932e-05
345,0.037093658
346,9.80405e-05
347,7.83554e-05
348,0.012408335
349,0.00878759
350,0.016399065
351,0.009673373
352,9.164689e-05
353,8.9689165e-05
354,0.0072030467
355,0.013560061
356,0.0045705903
357,0.00023934714
358,0.00018209995
359,5.77483e-05
360,0.019678222
361,0.01252366
362,6.106499e-05
363,0.01874167
364,0.010257694
365,0.027014444
366,4.91645e-05
367,0.02532614
368,0.012165395
369,0.00010225539
370,0.0055236905
371,4.9826147e-05
372,0.012819146
373,0.000108621534
374,7.5502445e-05
375,0.0144974375
376,0.006201883
377,0.005333838
378,0.014054364
379,0.020158267
380,0.0038199972
381,0.010149536
382,0.020488882
383,0.00013296271
384,0.0010503134
385,0.011955025
386,0.00026428796
387,1.7160814e-05
388,3.650339e-05
389,2.2837603e-05
390,2.525378e-05
391,2.2153801e-05
392,2.7655911e-05
393,2.566041e-05
394,2.1796095e-05
395,0.005082287
396,1.5660573e-05
397,0.013572305
398,0.006956642
399,0.003880203
400,0.006468998
401,0.0047171004
402,3.9791827e-05
403,0.002590649
404,2.7728749e-05
405,2.1553313e-05
406,3.1289546e-05
407,0.0070975157
408,0.003346387
409,0.0034040867
410,6.049819e-05
411,0.000114293376
412,0.011521917
413,2.823092e-05
414,0.03207163
415,0.022669295
416,4.592314e-05
417,0.016316263
418,2.28384e-05
419,9.4744086e-05
420,0.03542798
421,8.909993e-05
422,3.638263e-05
423,0.0041612494
424,2.8782346e-05
425,0.007940863
426,2.4028262e-05
427,6.326632e-05
428,7.192431e-05
429,0.00012770001
430,5.0257084e-05
431,0.018396124
432,0.025719116
433,0.021174546
434,0.010555652
435,3.4674293e-05
436,3.085715e-05
437,6.471657e-05
438,3.8839407e-05
439,5.0100214e-05
440,2.7734446e-05
441,2.1922531e-05
442,2.113838e-05
443,0.007819142
444,0.0039500045
445,0.007362671
446,7.1736365e-05
447,4.7353344e-05
448,0.018826917
449,0.013721571
450,0.0027898045
451,4.2161544e-05
452,0.008253063
453,2.4377436e-05
454,0.0061015794
455,3.133247e-05
456,0.0039148503
457,6.239088e-05
458,2.9818466e-05
459,0.008596731
460,4.2366137e-05
461,3.0170746e-05
462,3.935831e-05
463,4.9442166e-05
464,0.029496476
465,0.019287068
466,0.03440802
467,0.02747391
468,0.020582946
469,0.05187114
470,0.018091101
471,0.029375015
472,0.032415338
473,0.00023507346
474,0.026448004
475,0.024004089
476,0.00023102775
477,0.031058393
478,0.019834036
479,5.7325153e-05
480,0.043282337
481,0.02258836
482,0.016412439
483,0.023123298
484,0.026984252
485,0.014419915
486,0.00742074
487,0.0041824086
488,5.086298e-05
489,2.6761174e-05
490,5.680592e-05
491,0.0049513956
492,5.2283922e-05
493,2.8845205e-05
494,2.5412784e-05
495,3.7678743e-05
496,0.016290102
497,0.018334683
498,0.011524563
499,2.1666609e-05
500,4.5605324e-05
501,4.190815e-05
502,0.014478876
503,0.0013793603
504,0.0063884663
505,3.974709e-05
506,1.8189938e-05
507,0.019644242
508,0.016572867
509,0.006892852
510,0.00012308701
511,6.074775e-05
512,0.008777665
513,0.00015653954
514,0.004793434
515,8.35482e-05
516,0.005544652
517,0.020030009
518,5.5945122e-05
519,0.037060663
520,2.19733e-05
521,0.020877536
522,3.624495e-05
523,0.024411205
524,0.0026317616
525,5.6182405e-05
526,0.037375227
527,6.0059578e-05
528,0.025818054
529,0.03209703
530,5.537801e-05
531,0.00381788
532,0.016118087
533,5.2607404e-05
534,0.0028466163
535,0.016834842
